label,content
joy,"It became a splendid flower-garden to the sick boy, and his little treasure upon earth."
joy,"The flower entwined itself even in his dreams- for him it bloomed, for him spread its perfume."
joy,"And it gladdened his eyes, and to the flower he turned, even in death, when the Lord called him."
sadness,"During that time the flower has stood in the window, withered and forgotten, till at length cast out among the sweepings into the street, on the day of the lodgers' removal."
joy,"Then the child opened his eyes and looked into the glorious happy face of the angel, and at the same moment they found themselves in that heavenly home where all is happiness and joy."
joy,"Then it joined in the song of the angels, who surrounded the throne, some near, and others in a distant circle, but all equally happy."
joy,"They all joined in the chorus of praise, both great and small,- the good, happy child, and the poor field-flower, that once lay withered and cast away on a heap of rubbish in a narrow, dark street."
sadness,"Then he would cry, but what nobody knows nobody cares for; so he would cry till he was tired, and then fall asleep; and while we are asleep we can feel neither hunger nor thirst."
joy,"Her beautiful, noble child had been a dear angel, and possessed the kindest heart; he had loved her so much, and she had loved him in return; they had kissed and loved each other, and the boy had been her joy, her second life."
sadness,"Anne Lisbeth went forth from the castle into the public road, feeling mournful and sad; he whom she had nursed day and night, and even now carried about in her dreams, had been cold and strange, and had not a word or thought respecting her."
sadness,"She felt very low-spirited, because her count-child had shown no inclination to speak to her who loved him so well, and who had travelled so far to see him."
fear,"Only tangled grass, and yet she was frightened at it."
fear,"As these thoughts passed through her mind, fear gave speed to her feet, so that she walked faster and faster."
fear,"Fear came upon her as if a cold, clammy hand had been laid upon her heart, so that she almost fainted."
fear,"It was the first hour of her awakening, full of anguish and horror."
fear,Superstition made her alternately shudder with cold or burn with the heat of fever.
fear,"""A grave! dig me a grave!"" still sounded in her ears; she was fearful that the cock might crow, and the first red streak appear in the east, before she had finished her work; and then she would be lost."
joy,"""Now I am in the house of God,"" she said, ""and in that house we are happy."""
surprise,"""A difference!"" cried the sunbeam, as he kissed the blooming apple-branch, and then kissed the yellow dandelion out in the fields."
joy,"There came presently across the fields a whole group of children, the youngest of whom was so small that it had to be carried by the others; and when he was seated on the grass, among the yellow flowers, he laughed aloud with joy, kicked out his little legs, rolled about, plucked the yellow flowers, and kissed them in childlike innocence."
fear,"It was dreadful to hear all that, for the preacher spoke from his heart, and all the people in the church were terrified."
fear,"The pastor's hand trembled; he dared not stretch it out, he did not venture to pull a hair out of the sinner's head."
joy,"Mr. Alfred again spoke of Italy, and of the glorious colors in Italian scenery; the purple hills, the deep blue of the Mediterranean, the azure of southern skies, whose brightness and glory could only be surpassed in the north by the deep-blue eyes of a maiden; and he said this with a peculiar intonation; but she who should have understood his meaning looked quite unconscious of it, which also was charming."
joy,"The young man felt the truth of the proverb, ""Still waters run deep:"" and his heart had sunk into their depths."
surprise,"""Good heavens!"" she exclaimed."
surprise,"He placed a pencil sketch on the table; and mamma, who had been over-powered with the appearance of the colored plates, threw a glance at the pale drawing and cried in astonishment, ""What, did you see it throw up white fire?"""
joy,"The betrothed pair were very happy, and the mother was happy too."
sadness,"Alfred wept, and mamma wept, and they both wore mourning."
sadness,"She had also to experience another grief in seeing Alfred marry again, marry Sophy, who was nothing at all to look at."
joy,"""'Pygmalion loved his Galatea,' was in the song they sung at my first wedding,"" said Alfred; ""I once fell in love with a beautiful statue, which awoke to life in my arms; but the kindred soul, which is a gift from heaven, the angel who can feel and sympathize with and elevate us, I have not found and won till now."
surprise,"""Understand!"
joy,"""How beautiful this world is!"" said the caterpillar."
joy,"""The sun is so warm, I quite enjoy it."
joy,"""Wonderful weather this,"" cried one of them, ""and so refreshing."
joy,"What happiness for a mother!"""
joy,"How charming this is for a mother, is it not Mr. Beetle?"" for she knew the stranger by his horny coat."
joy,"""Certainly,"" said the beetle, ""I shall be most happy; I have been exposed to the rain, and have had to lie upon linen, and cleanliness is a thing that greatly exhausts me; I have also pains in one of my wings from standing in the draught under a piece of broken crockery."
joy,"The mother gave them her blessing, and all the other beetles cried ""hurrah."""
joy,"""What a wonderful quantity of plants,"" cried the beetle; ""how good they will taste when they are decayed!"
joy,"""Oh, what a splendour!"""
joy,"And they ran towards each other and took one another's hand, in the great cathedral of nature and poesy, and above them sounded the invisible holy bell; happy spirits surrounded them, singing hallelujahs and rejoicing."
joy,"He seized her hand, he embraced her, and the mother wept."
joy,"""Safe return, and a wedding this day next year,"" he cried; and when the glasses were empty he took the bottle, raised it on high, and said, ""Thou hast been present here on the happiest day of my life; thou shalt never be used by others!"""
joy,"Those were happy days, and the bottle would sing when rubbed with a cork, and it was called a great lark,"" ""Peter Jensen's lark."""
joy,"For very joy, it felt ready to jump out of people's hands, and scarcely noticed that its cork had been drawn, and its contents emptied out, till it found itself carried to a cellar, to be left there and forgotten."
joy,"""There's no place like home, even if it's a cellar."""
joy,"The rabbit was quite excited because he knew that he was to be taken up, and let down again in a parachute."
joy,"Then they hung it in the cage of the little bird, who sang and twittered more merrily than ever."
fear,"""Bend your head as we do,"" cried the ears of corn; ""the angel of the storm is coming; his wings spread from the sky above to the earth beneath."
fear,"He will strike you down before you can cry for mercy."""
sadness,"The branches of the old willow-tree rustled in the wind, and large water-drops fell from his green leaves as if the old willow were weeping."
joy,"The pea-blossom pleased him most of all; she was white and red, graceful and slender, and belonged to those domestic maidens who have a pretty appearance, and can yet be useful in the kitchen."
surprise,"""Oh, indeed; and you will be like her some day,"" said he; and he flew away directly, for he felt quite shocked."
joy,"""I will take her,"" said the butterfly; and he made her an offer."
sadness,"""It is not very pleasant, certainly; I should imagine it is something like being married; for here I am stuck fast."""
surprise,As if these things were of any consequence!
surprise,"Who would trouble themselves about such trifles? especially at a comedy, where every one is expected to be amused."
sadness,"The sisters mourned as young hearts can mourn, and were especially grieved at the sight of their parents' sorrow."
sadness,"The father's heart was bowed down, but the mother sunk completely under the deep grief."
sadness,"She thought God could not take her darling little one from her; and when it did happen notwithstanding her hopes and her belief, and there could be no more doubt on the subject, she said in her feverish agony, ""God does not know it."
sadness,"But these doubts were no support to her, nothing on which she could rest, and she sunk into the fathomless depths of despair."
sadness,"The tears of her husband fell on her forehead, but she took no notice of him; her thoughts were with her dead child; her whole existence seemed wrapped up in the remembrances of the little one and of every innocent word it had uttered."
sadness,"When she awoke, and wanted to see her child, the husband, with tears, said, ""We have closed the coffin; it was necessary to do so."""
