label,content,content_de
joy,"It became a splendid flower-garden to the sick boy, and his little treasure upon earth.",Es wurde ein prächtiger Blumengarten für den kranken Jungen und seinen kleinen Schatz auf Erden.
joy,"The flower entwined itself even in his dreams- for him it bloomed, for him spread its perfume.","Die Blume rankte sich sogar in seinen Träumen – für ihn blühte sie, für ihn verbreitete sie ihren Duft."
joy,"And it gladdened his eyes, and to the flower he turned, even in death, when the Lord called him.","Und es erfreute seine Augen, und er wandte sich selbst im Tod der Blume zu, als der Herr ihn rief."
sadness,"During that time the flower has stood in the window, withered and forgotten, till at length cast out among the sweepings into the street, on the day of the lodgers' removal.","Während dieser Zeit hat die Blume am Fenster gestanden, verwelkt und vergessen, bis sie schließlich am Tag der Entfernung der Untermieter zwischen dem Kehrgut auf die Straße geworfen wurde."
joy,"Then the child opened his eyes and looked into the glorious happy face of the angel, and at the same moment they found themselves in that heavenly home where all is happiness and joy.","Dann öffnete das Kind seine Augen und blickte in das herrlich glückliche Gesicht des Engels, und im selben Moment befanden sie sich in diesem himmlischen Zuhause, wo alles Glück und Freude ist."
joy,"Then it joined in the song of the angels, who surrounded the throne, some near, and others in a distant circle, but all equally happy.","Dann stimmte es in das Lied der Engel ein, die den Thron umringten, einige in der Nähe und andere in einem entfernten Kreis, aber alle gleichermaßen glücklich."
joy,"They all joined in the chorus of praise, both great and small,- the good, happy child, and the poor field-flower, that once lay withered and cast away on a heap of rubbish in a narrow, dark street.","Sie stimmten alle in den Lobgesang ein, groß und klein, das gute, glückliche Kind und die arme Feldblume, die einst verwelkt und weggeworfen auf einem Müllhaufen in einer engen, dunklen Gasse lag."
sadness,"Then he would cry, but what nobody knows nobody cares for; so he would cry till he was tired, and then fall asleep; and while we are asleep we can feel neither hunger nor thirst.","Dann würde er weinen, aber was niemand weiß, interessiert niemanden; so weinte er, bis er müde war, und schlief dann ein; und während wir schlafen, können wir weder Hunger noch Durst verspüren."
joy,"Her beautiful, noble child had been a dear angel, and possessed the kindest heart; he had loved her so much, and she had loved him in return; they had kissed and loved each other, and the boy had been her joy, her second life.","Ihr schönes, edles Kind war ein lieber Engel gewesen und hatte das gütigste Herz; er hatte sie so sehr geliebt, und sie hatte ihn zurückgeliebt; sie hatten sich geküsst und geliebt, und der Junge war ihre Freude gewesen, ihr zweites Leben."
sadness,"Anne Lisbeth went forth from the castle into the public road, feeling mournful and sad; he whom she had nursed day and night, and even now carried about in her dreams, had been cold and strange, and had not a word or thought respecting her.","Anne Lisbeth ging aus dem Schloß hinaus auf die öffentliche Straße und fühlte sich traurig und traurig; er, den sie Tag und Nacht gepflegt und selbst jetzt noch in ihren Träumen herumgetragen hatte, war kalt und fremd gewesen und hatte kein Wort und keinen Gedanken an sie."
sadness,"She felt very low-spirited, because her count-child had shown no inclination to speak to her who loved him so well, and who had travelled so far to see him.","Sie fühlte sich sehr niedergeschlagen, weil ihr Grafenkind keine Neigung gezeigt hatte, mit ihr zu sprechen, die ihn so sehr liebte und die so weit gereist war, um ihn zu sehen."
fear,"Only tangled grass, and yet she was frightened at it.","Nur wirres Gras, und doch erschrak sie davor."
fear,"As these thoughts passed through her mind, fear gave speed to her feet, so that she walked faster and faster.","Als diese Gedanken ihr durch den Kopf gingen, beschleunigte die Angst ihre Füße, sodass sie immer schneller ging."
fear,"Fear came upon her as if a cold, clammy hand had been laid upon her heart, so that she almost fainted.","Angst überkam sie, als hätte man ihr eine kalte, klamme Hand aufs Herz gelegt, so dass sie fast ohnmächtig wurde."
fear,"It was the first hour of her awakening, full of anguish and horror.","Es war die erste Stunde ihres Erwachens, voller Angst und Schrecken."
fear,Superstition made her alternately shudder with cold or burn with the heat of fever.,Der Aberglaube ließ sie abwechselnd vor Kälte schaudern oder vor Fieberhitze brennen.
fear,"""A grave! dig me a grave!"" still sounded in her ears; she was fearful that the cock might crow, and the first red streak appear in the east, before she had finished her work; and then she would be lost.","""Ein Grab! Grab mir ein Grab!"" klang noch in ihren Ohren; sie fürchtete, der Hahn könnte krähen und der erste rote Streifen im Osten erscheinen, bevor sie ihre Arbeit beendet hätte; und dann wäre sie verloren."
joy,"""Now I am in the house of God,"" she said, ""and in that house we are happy.""","""Jetzt bin ich im Haus Gottes"", sagte sie, ""und in diesem Haus sind wir glücklich."""
surprise,"""A difference!"" cried the sunbeam, as he kissed the blooming apple-branch, and then kissed the yellow dandelion out in the fields.","""Ein Unterschied!"" rief der Sonnenstrahl, als er den blühenden Apfelzweig küsste und dann den gelben Löwenzahn draußen auf den Feldern küsste."
joy,"There came presently across the fields a whole group of children, the youngest of whom was so small that it had to be carried by the others; and when he was seated on the grass, among the yellow flowers, he laughed aloud with joy, kicked out his little legs, rolled about, plucked the yellow flowers, and kissed them in childlike innocence.","Alsbald kam eine ganze Schar Kinder über die Felder, von denen das jüngste so klein war, dass es von den anderen getragen werden musste; und als er im Gras saß, zwischen den gelben Blumen, lachte er laut vor Freude, trat mit den Beinchen aus, wälzte sich herum, pflückte die gelben Blumen und küsste sie in kindlicher Unschuld."
